rep,n,d,N,type,method,metric,value
46,50,2,100,linear,Gaussian-FR,Correlation,0.005225000679147555
47,50,2,100,linear,NPT-FR,Marginal,6.3898324950821355
47,50,2,100,linear,NPT-FR,Correlation,0.005430542742671045
47,50,2,100,linear,Marginal-FR,Marginal,6.3898324950821355
47,50,2,100,linear,Marginal-FR,Correlation,0.020682962941386804
47,50,2,100,linear,Gaussian-FR,Marginal,7.743841087950658
47,50,2,100,linear,Gaussian-FR,Correlation,0.005668835351619773
48,50,2,100,linear,NPT-FR,Marginal,5.894462299585145
48,50,2,100,linear,NPT-FR,Correlation,0.005780634604143193
48,50,2,100,linear,Marginal-FR,Marginal,5.894462299585145
48,50,2,100,linear,Marginal-FR,Correlation,0.019739126490847116
48,50,2,100,linear,Gaussian-FR,Marginal,6.977654267698508
48,50,2,100,linear,Gaussian-FR,Correlation,0.005683239031694177
49,50,2,100,linear,NPT-FR,Marginal,6.302496122862554
49,50,2,100,linear,NPT-FR,Correlation,0.005689052319498895
49,50,2,100,linear,Marginal-FR,Marginal,6.302496122862554
49,50,2,100,linear,Marginal-FR,Correlation,0.019165317953258203
49,50,2,100,linear,Gaussian-FR,Marginal,7.803025968950191
49,50,2,100,linear,Gaussian-FR,Correlation,0.005579218299000465
50,50,2,100,linear,NPT-FR,Marginal,5.768321909997571
50,50,2,100,linear,NPT-FR,Correlation,0.005363949279207914
50,50,2,100,linear,Marginal-FR,Marginal,5.768321909997571
50,50,2,100,linear,Marginal-FR,Correlation,0.019871138954495715
50,50,2,100,linear,Gaussian-FR,Marginal,6.896472926720837
50,50,2,100,linear,Gaussian-FR,Correlation,0.005513593995243394
51,50,2,100,linear,NPT-FR,Marginal,5.713063549896324
51,50,2,100,linear,NPT-FR,Correlation,0.005568129786874813
51,50,2,100,linear,Marginal-FR,Marginal,5.713063549896324
51,50,2,100,linear,Marginal-FR,Correlation,0.018994586167837963
51,50,2,100,linear,Gaussian-FR,Marginal,7.052802368891753
51,50,2,100,linear,Gaussian-FR,Correlation,0.0055417744177567296
52,50,2,100,linear,NPT-FR,Marginal,5.514544667652271
52,50,2,100,linear,NPT-FR,Correlation,0.005488937312842892
52,50,2,100,linear,Marginal-FR,Marginal,5.514544667652271
52,50,2,100,linear,Marginal-FR,Correlation,0.019707641270244523
52,50,2,100,linear,Gaussian-FR,Marginal,6.823712221547518
