rep,n,d,N,type,method,metric,value
74,50,2,100,linear,NPT-FR,Wasserstein,12.766433498190343
74,50,2,100,linear,Marginal-FR,Wasserstein,13.018050929148131
74,50,2,100,linear,Gaussian-FR,Wasserstein,16.0902341908971
75,50,2,100,linear,NPT-FR,Wasserstein,12.664018130355716
75,50,2,100,linear,Marginal-FR,Wasserstein,12.854225242099794
75,50,2,100,linear,Gaussian-FR,Wasserstein,16.205002367021358
76,50,2,100,linear,NPT-FR,Wasserstein,13.870725167277843
76,50,2,100,linear,Marginal-FR,Wasserstein,14.047904087009908
76,50,2,100,linear,Gaussian-FR,Wasserstein,16.66168614655319
77,50,2,100,linear,NPT-FR,Wasserstein,12.876204259506878
77,50,2,100,linear,Marginal-FR,Wasserstein,13.014115283380882
77,50,2,100,linear,Gaussian-FR,Wasserstein,16.060674833997652
78,50,2,100,linear,NPT-FR,Wasserstein,12.980015629686172
78,50,2,100,linear,Marginal-FR,Wasserstein,13.212589708849436
78,50,2,100,linear,Gaussian-FR,Wasserstein,16.165918628158412
79,50,2,100,linear,NPT-FR,Wasserstein,11.760875211100386
79,50,2,100,linear,Marginal-FR,Wasserstein,11.89886794591917
79,50,2,100,linear,Gaussian-FR,Wasserstein,14.840147949613678
80,50,2,100,linear,NPT-FR,Wasserstein,12.941945002557395
80,50,2,100,linear,Marginal-FR,Wasserstein,13.175394110669588
80,50,2,100,linear,Gaussian-FR,Wasserstein,16.072968467658086
81,50,2,100,linear,NPT-FR,Wasserstein,12.443903766946733
81,50,2,100,linear,Marginal-FR,Wasserstein,12.74681883700916
81,50,2,100,linear,Gaussian-FR,Wasserstein,15.4909864933815
82,50,2,100,linear,NPT-FR,Wasserstein,11.935733682482786
82,50,2,100,linear,Marginal-FR,Wasserstein,12.157387500206163
82,50,2,100,linear,Gaussian-FR,Wasserstein,15.351659445578738
83,50,2,100,linear,NPT-FR,Wasserstein,13.507566219033622
83,50,2,100,linear,Marginal-FR,Wasserstein,13.75341934881698
83,50,2,100,linear,Gaussian-FR,Wasserstein,16.265886037225314
84,50,2,100,linear,NPT-FR,Wasserstein,14.947047566460794
84,50,2,100,linear,Marginal-FR,Wasserstein,15.10937060264155
84,50,2,100,linear,Gaussian-FR,Wasserstein,17.63701666727172
85,50,2,100,linear,NPT-FR,Wasserstein,13.062862816502719
85,50,2,100,linear,Marginal-FR,Wasserstein,13.319049286011301
85,50,2,100,linear,Gaussian-FR,Wasserstein,16.620286126910177
86,50,2,100,linear,NPT-FR,Wasserstein,12.322983210709769
86,50,2,100,linear,Marginal-FR,Wasserstein,12.554290822119405
86,50,2,100,linear,Gaussian-FR,Wasserstein,15.86050166610951
87,50,2,100,linear,NPT-FR,Wasserstein,14.635637214709513
87,50,2,100,linear,Marginal-FR,Wasserstein,14.869997362971574
87,50,2,100,linear,Gaussian-FR,Wasserstein,17.68114703233299
88,50,2,100,linear,NPT-FR,Wasserstein,13.780464641362054
88,50,2,100,linear,Marginal-FR,Wasserstein,13.96699524216122
88,50,2,100,linear,Gaussian-FR,Wasserstein,16.792439183917143
89,50,2,100,linear,NPT-FR,Wasserstein,14.344175308531456
89,50,2,100,linear,Marginal-FR,Wasserstein,14.526981463718014
89,50,2,100,linear,Gaussian-FR,Wasserstein,18.19679547209826
90,50,2,100,linear,NPT-FR,Wasserstein,13.34352371932204
90,50,2,100,linear,Marginal-FR,Wasserstein,13.519538214240857
90,50,2,100,linear,Gaussian-FR,Wasserstein,16.899339085225744
91,50,2,100,linear,NPT-FR,Wasserstein,13.173086726339454
91,50,2,100,linear,Marginal-FR,Wasserstein,13.321069982501543
91,50,2,100,linear,Gaussian-FR,Wasserstein,16.523256123337344
92,50,2,100,linear,NPT-FR,Wasserstein,13.321323001642154
92,50,2,100,linear,Marginal-FR,Wasserstein,13.547463835872138
92,50,2,100,linear,Gaussian-FR,Wasserstein,16.32235169319902
93,50,2,100,linear,NPT-FR,Wasserstein,14.169814154461465
93,50,2,100,linear,Marginal-FR,Wasserstein,14.367455327369903
93,50,2,100,linear,Gaussian-FR,Wasserstein,17.13300294216867
